Risk Factor ;Medical Context ;ICDvCodes;Drug Names ;Keywords ;Abbreviations ;Negation Caveats;Reference
Corticosteroid Use;Immune suppression;-;prednisone | methylprednisolone | dexamethasone;"""on steroids"" | ""steroid therapy"" | ""corticosteroid""";pred | meth | dex;exclude topical or inhaled only;
ICU Stay;Critical Illness;-;-;"""intensive-care unit""";ICU;;
Prior History of MRSA Colonization or Infection in the last 1 Year;Colonization / Infection History;Z22.322 | A49.02;vancomycin | teicoplanin | telavancin | ceftaroline | daptomycin | oxazolidinones;"""antibiotic"" | ""Firvanq"" | ""Vancocin"" | ""Glycopeptide antibacterial""";VA | VAN | TEC | TPN | TEI | TP | TPL;vancomycin is most common antibiotic in MRSA treatment | either alone or in combination (e.g. with chemotherapy);"https://www.mdpi.com/2079-6382/11/5/606; https://www.drugs.com/monograph/vancomycin.html; https://www.drugs.com/international/teicoplanin.html; https://microbiologie-clinique.com/antibiotic-family-abbreviation.html"
Transfer from a Nursing Home;Prior Healthcare Exposure;-;-;"""nursing home""";NH | LTCF | SNF;Long-term Care Facility (LTCF);https://www.cdc.gov/nhsn/pdfs/ltc/ltcf-key-terms-acronyms_current.pdf
Diabetes;Comorbidity / Chronic Disease;E10 | E11;insulin | metformin | sulfonylureas;"""diabetes mellitus"" | ""diabetic"" | ""insulin replacement""";DM | T1D | T2D;only Type 1 and Type 2 included;"https://www.researchgate.net/publication/396455639_Comparative_Review_of_Drugs_Used_in_Diabetes_Mellitus-New_and_Old; https://pmc.ncbi.nlm.nih.gov/articles/PMC6501476/"
Coronary Artery Disease;Comorbidity / Chronic Disease;I25;aspirin | beta blockers | atorvastatin | rosuvastatin | simvastatin | pravastatin | lovastatin | amlodipine | nifedipine | verapamil | diltiazem | metoprolol | atenolol | bisprolol | ranolazine;"""bypass"" | ""statin therapy"" | ""dihydropyridine CCBs"" (calcium channel blockers) | ""beta blockers"" | ""beta blocker therapy""";CAD;;https://www.aafp.org/afp/2018/0315/p376
Placement of an Indwelling Urine Catheter;"Invasive Devices / Procedures; Skin Barrier Disruption";-;-;"""catheter"" | ""urine catheter""";IUC;;
Respiratory Failure;Critical Illness;J96 | J95.82;;"""oxygen"" | ""ventilation"" | ""tracheostomy"" | ""corticosteroids"" | bronchodilators"" | ""ECMO"" | ""NPPV"" | ""CPAP""";;;https://www.nhlbi.nih.gov/health/respiratory-failure/treatment
Difficulty swallowing;Critical Illness;R13.1;-;"""dysphagia""";;;
Presence of an open Wound;Skin Barrier Disruption;S01 | S11 | S21 | S31 | S41 | S51 | S61 | S71 | S81 | S91;;"""wound"" | ""bleeding""";;;
